,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL
0,AK,380,"Anchorage, AK MSA",13-1111,Management analysts,,340,19.3,33.46,69590,14.9,18.84,23.99,29.73,40.10,54.29,39190,49910,61830,83400,112930,
1,AK,380,"Anchorage, AK MSA",13-2031,Budget analysts,,140,2.0,28.27,58800,2.3,20.89,23.51,27.15,31.98,37.69,43450,48910,56470,66510,78390,
2,AK,380,"Anchorage, AK MSA",13-2041,Credit analysts,,50,49.4,27.5,57200,11.5,16.22,19.55,22.14,30.93,54.26,33740,40650,46040,64340,112850,
3,AK,380,"Anchorage, AK MSA",13-2051,Financial analysts,,150,22.6,32.63,67860,3.4,23.17,25.86,30.85,37.12,49.16,48190,53790,64160,77200,102250,
4,AK,380,"Anchorage, AK MSA",15-1051,Computer systems analysts,,440,5.9,34.31,71370,2.7,24.45,28.85,34.05,39.59,42.97,50860,60010,70820,82340,89380,
5,AK,380,"Anchorage, AK MSA",15-1081,Network systems and data communications analysts,,**,**,28.17,58600,4.5,17.53,22.12,29.39,34.07,39.18,36450,46000,61140,70870,81500,
6,AK,380,"Anchorage, AK MSA",15-2031,Operations research analysts,,70,28.4,23.1,48050,3.0,15.39,18.47,21.62,26.99,33.22,32020,38420,44960,56150,69110,
7,AK,380,"Anchorage, AK MSA",19-3021,Market research analysts,,**,**,42.59,88590,13.2,17.53,20.4,45.07,63.13,68.55,36460,42430,93740,131310,142590,
8,AK,380,"Anchorage, AK MSA",27-3020,"News analysts, reporters and correspondents",,140,33.4,19.6,40760,4.0,11.83,13.79,16.52,21.02,31.06,24600,28670,34370,43730,64600,
9,AL,450,"Anniston, AL MSA",15-1051,Computer systems analysts,,70,8.5,29.97,62340,3.1,23.61,27.98,30.63,33.32,36.95,49100,58210,63700,69310,76850,
10,AL,580,"Auburn-Opelika, AL MSA",15-1081,Network systems and data communications analysts,,**,**,30.4,63230,10.5,17.63,22.29,28.08,39.78,45.47,36670,46370,58410,82730,94570,
11,AL,1000,"Birmingham, AL MSA",13-1111,Management analysts,,1230,17.8,32.13,66820,9.0,15.24,22.5,27.85,34.88,49.46,31700,46810,57930,72540,102880,
12,AL,1000,"Birmingham, AL MSA",13-2031,Budget analysts,,130,17.9,26.45,55010,5.2,15.98,18.83,23.83,31.03,42.82,33240,39180,49560,64540,89060,
13,AL,1000,"Birmingham, AL MSA",13-2041,Credit analysts,,230,22.0,21.35,44410,6.1,14.4,16.08,18.58,22.48,30.47,29950,33440,38650,46760,63380,
14,AL,1000,"Birmingham, AL MSA",13-2051,Financial analysts,,590,10.4,27.2,56570,5.5,15.77,19.45,26.59,34.40,41.55,32800,40450,55300,71550,86430,
15,AL,1000,"Birmingham, AL MSA",15-1051,Computer systems analysts,,1810,16.4,27.76,57730,3.8,16.71,20.37,27.56,34.39,41.53,34760,42370,57320,71520,86380,
16,AL,1000,"Birmingham, AL MSA",15-1081,Network systems and data communications analysts,,440,13.3,27.63,57460,2.9,15.58,20.7,26.52,34.90,41.75,32400,43060,55150,72590,86850,
17,AL,1000,"Birmingham, AL MSA",15-2031,Operations research analysts,,290,25.9,25.97,54020,5.5,13.12,17.95,24.70,32.43,40.50,27280,37330,51370,67460,84250,
18,AL,1000,"Birmingham, AL MSA",19-3021,Market research analysts,,210,17.7,27.57,57350,6.7,14.76,18.35,24.16,36.21,44.40,30700,38170,50260,75310,92350,
19,AL,1000,"Birmingham, AL MSA",27-3020,"News analysts, reporters and correspondents",,210,11.7,19.06,39640,21.6,7.83,9.75,13.15,20.58,31.79,16290,20270,27360,42810,66120,
20,AL,2030,"Decatur, AL MSA",13-1111,Management analysts,,90,13.4,32.6,67810,12.2,16.24,19.78,26.39,32.86,48.19,33780,41150,54880,68360,100240,
21,AL,2030,"Decatur, AL MSA",15-1051,Computer systems analysts,,50,29.2,30.65,63760,3.8,20.95,25.28,30.85,35.94,42.09,43570,52580,64160,74750,87540,
22,AL,2180,"Dothan, AL MSA",13-1111,Management analysts,,40,6.5,24.68,51320,3.8,17.79,20.95,25.63,30.06,32.72,37000,43570,53310,62530,68060,
23,AL,2180,"Dothan, AL MSA",15-1051,Computer systems analysts,,90,10.2,29.29,60920,3.5,19.18,25.32,30.03,33.97,39.90,39900,52660,62460,70660,83000,
24,AL,2650,"Florence, AL MSA",15-1051,Computer systems analysts,,40,15.9,28.68,59660,3.0,18.55,24.63,29.71,33.49,38.20,38590,51230,61790,69660,79460,
25,AL,3440,"Huntsville, AL MSA",13-1111,Management analysts,,1210,7.2,36.22,75340,7.7,19.58,24.79,32.46,40.58,47.57,40730,51570,67520,84410,98950,
