Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
310M300US10140,10140,"Aberdeen, WA ",27330,1573,17626,1813,N,N,9704,1355,49623,3998,56308,7769,63960,8835,29510,6289,67813,7818,73484,8484,N,N,52123,16241,46
310M300US10180,10180,"Abilene, TX ",59263,2157,38610,2159,29058,2148,20653,1932,48016,4309,59151,5136,69143,5211,27532,3072,62145,3749,72953,5150,N,N,39233,4439,32.6
310M300US10300,10300,"Adrian, MI ",37781,1320,24925,1073,19168,1174,12856,1450,51918,3667,64783,4391,72812,3731,31387,3443,67726,4367,80569,6176,N,N,38695,4701,36.2
310M300US10380,10380,"Aguadilla-Isabela, PR ",110316,3051,78013,3167,46920,2596,32303,2420,14546,797,18626,1299,24116,1341,8382,842,21838,1109,24862,1384,31138,1851,13695,1997,30.4
310M300US10420,10420,"Akron, OH ",284670,3364,177273,4261,129199,3660,107397,3902,51598,1092,68064,2584,80667,2099,30469,886,70083,1906,87614,2868,103063,3310,39351,1409,34.5
310M300US10460,10460,"Alamogordo, NM ",22384,1623,14135,1500,N,N,8249,1324,43646,5075,54377,6237,67576,10224,29514,5169,66808,16346,85329,24638,N,N,33583,4145,29.5
310M300US10500,10500,"Albany, GA ",57228,1908,37985,2268,22114,1829,19243,2169,40667,3796,50227,4761,69095,6704,27219,5043,57901,4309,65534,6088,88467,8800,40065,5605,41.8
310M300US10540,10540,"Albany, OR ",46645,1122,30793,1827,N,N,15852,1774,51310,4689,64511,6612,72766,4664,29923,4346,69891,7173,82906,10684,N,N,40725,4756,30.9
310M300US10580,10580,"Albany-Schenectady-Troy, NY ",343069,3783,204483,4495,152282,5091,138586,5384,65855,2050,84568,2480,100868,2615,39513,2610,85684,2217,105107,3058,121704,3805,53054,2255,30.6
310M300US10700,10700,"Albertville, AL ",34726,1047,23208,1423,17827,1504,11518,1481,42362,4050,51475,6337,56567,10394,25817,4406,59315,6254,72009,8191,82712,9996,31834,3605,45.6
