ID,AREA_NAME,City,Geography,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
10500,"Albany, GA","Albany, GA","Albany, GA ",13-1111,Management Analysts,detailed,190.00,7.6,3.328,0.73,40.11,83420.00,10.5,24.15,28.34,34.19,41.96,52.77,"50,220","58,950",71110.00,"87,270","109,770",,
10500,"Albany, GA","Albany, GA","Albany, GA ",13-1161,Market Research Analysts and Marketing Specialists,detailed,80.00,19.4,1.437,0.36,25.71,53470.00,6.1,15.87,19.21,22.79,29.48,44.14,"33,020","39,950",47410.00,"61,320","91,810",,
10500,"Albany, GA","Albany, GA","Albany, GA ",15-1121,Computer Systems Analysts,detailed,50.00,15.3,0.807,0.2,30.51,63460.00,5,19.2,24.7,31.64,36.31,39.42,"39,930","51,380",65800.00,"75,520","81,990",,
11180,"Ames, IA","Ames, IA","Ames, IA ",13-1111,Management Analysts,detailed,120.00,14.6,2.719,0.6,35.66,74170.00,4.5,20.58,28.17,34.07,41.82,51.44,"42,800","58,580",70860.00,"86,980","106,990",,
11180,"Ames, IA","Ames, IA","Ames, IA ",13-1161,Market Research Analysts and Marketing Specialists,detailed,120.00,16.5,2.735,0.69,29.47,61300.00,5.2,15.92,20.88,27.68,35.7,50.72,"33,120","43,420",57580.00,"74,260","105,500",,
11180,"Ames, IA","Ames, IA","Ames, IA ",15-1121,Computer Systems Analysts,detailed,360.00,8.2,8.139,2.01,34.82,72420.00,5.5,20.77,27.01,34.13,40.99,48.01,"43,200","56,180",70990.00,"85,270","99,860",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",13-1111,Management Analysts,detailed,10520.00,9.7,6.731,1.48,45.18,93970.00,4.2,24.82,30.91,40.76,53.77,73.31,"51,630","64,290",84770.00,"111,830","152,480",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",13-1161,Market Research Analysts and Marketing Specialists,detailed,10970.00,7,7.02,1.76,34.36,71470.00,2.2,17.03,22.21,30.68,42.21,59.17,"35,420","46,190",63810.00,"87,790","123,080",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",13-2031,Budget Analysts,detailed,700.00,24.7,0.447,1.15,46.64,97000.00,1.7,30.83,36.3,44.51,55.29,67.41,"64,140","75,500",92580.00,"115,000","140,220",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",13-2041,Credit Analysts,detailed,1400.00,11.4,0.893,1.72,45.12,93840.00,6.9,21.37,27.75,36.01,52.25,76.03,"44,450","57,720",74910.00,"108,670","158,150",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",13-2051,Financial Analysts,detailed,3810.00,6.6,2.436,1.21,46.2,96090.00,2.7,25.75,32.31,41.07,53.56,73.4,"53,570","67,200",85430.00,"111,400","152,660",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",15-1121,Computer Systems Analysts,detailed,5480.00,7.3,3.507,0.87,45.43,94500.00,1.9,25.17,34.35,45.34,56.83,66.99,"52,350","71,440",94300.00,"118,200","139,350",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",15-1122,Information Security Analysts,detailed,850.00,15.2,0.542,0.79,49.73,103440.00,3.2,27.33,36.41,46.98,61.55,77.69,"56,850","75,730",97720.00,"128,030","161,600",,
31080,"Anaheim-Santa Ana-Irvine, CA ","Anaheim-Santa Ana-Irvine, CA ","Los Angeles-Long Beach-Anaheim, CA ",15-2031,Operations Research Analysts,detailed,1690.00,13.9,1.08,1.39,40.76,84780.00,2.1,24.63,31.29,40.72,48.94,59.95,"51,220","65,070",84690.00,"101,790","124,690",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",13-1111,Management Analysts,detailed,470.00,11.6,2.693,0.59,41.74,86830.00,2.5,26.3,31.45,40.25,48.21,58.68,"54,710","65,420",83730.00,"100,280","122,050",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",13-1161,Market Research Analysts and Marketing Specialists,detailed,350.00,16,1.999,0.5,32.23,67040.00,3.4,17.5,23.24,31.49,39.74,50.65,"36,400","48,330",65500.00,"82,660","105,340",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",13-2031,Budget Analysts,detailed,130.00,3,0.73,1.87,37.71,78430.00,2.3,26.63,31.17,35.57,43.6,50.36,"55,380","64,840",73980.00,"90,680","104,750",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",13-2051,Financial Analysts,detailed,280.00,9.5,1.594,0.79,44.16,91860.00,4.3,23.32,31.93,40.93,54.5,64.04,"48,510","66,420",85130.00,"113,350","133,190",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",15-1121,Computer Systems Analysts,detailed,460.00,10.4,2.601,0.64,39.26,81660.00,3.4,24.98,31.51,39.57,46.84,55.19,"51,960","65,530",82300.00,"97,430","114,800",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",15-1122,Information Security Analysts,detailed,70.00,40.7,0.38,0.55,42.36,88120.00,3.3,22.52,34.73,42.9,48.33,60.64,"46,840","72,230",89240.00,"100,540","126,130",,
11260,"Anchorage, AK","Anchorage, AK","Anchorage, AK ",15-2031,Operations Research Analysts,detailed,80.00,28,0.437,0.56,46.69,97120.00,10.6,21.46,29.43,36.18,52.72,81.77,"44,650","61,220",75250.00,"109,670","170,080",,
