Rank,City, Job Wage (Avg) , Number of Jobs , Population , Household Income (Avg) ,Job Wage Ratio,Jobs Per Capita,Avg Wage Rank,Jobs Per Capita Rank,Wage Ratio Rank,# of Jobs Rank,Total City Score,,,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg),Job Wage Ratio,Jobs Per Capita
1,"Huntsville, AL"," $89,673 "," 5,230 "," 449,232 "," $82,195 ",1.090977,116.42,5,8,31,20,64,,,85411.11111,2385610,323400000,59039,1.446689665,73.76654298
2,"Colorado Springs, CO"," $86,668 "," 4,690 "," 710,746 "," $80,759 ",1.073162,65.99,13,21,39,23,96,,,,,,,,
3,"Hartford-West Hartford-East Hartford, CT"," $89,456 "," 13,890 "," 1,210,075 "," $96,040 ",0.931448,114.79,6,9,85,10,110,,,,,,,,
4,"Palm Bay-Melbourne-Titusville, FL"," $79,081 "," 3,100 "," 577,899 "," $70,367 ",1.123843,53.64,33,27,21,29,110,,,,,,,,
5,"Denver-Aurora-Lakewood, CO"," $88,828 "," 28,440 "," 2,851,848 "," $97,172 ",0.914126,99.72,8,11,89,7,115,,,,,,,,
6,"San Diego-Carlsbad, CA"," $89,126 "," 27,580 "," 3,317,200 "," $96,692 ",0.921754,83.14,7,14,87,8,116,,,,,,,,
7,"Birmingham-Hoover, AL"," $79,628 "," 5,820 "," 1,146,888 "," $74,082 ",1.074860,50.75,30,30,38,19,117,,,,,,,,
8,"San Jose-Sunnyvale-Santa Clara, CA"," $109,999 "," 32,540 "," 1,990,910 "," $145,317 ",0.756957,163.44,1,3,115,6,125,,,,,,,,
9,"Bakersfield, CA"," $82,796 "," 2,630 "," 885,086 "," $67,594 ",1.224905,29.71,23,60,10,32,125,,,,,,,,
10,"Tucson, AZ"," $74,457 "," 4,320 "," 1,012,519 "," $65,881 ",1.130176,42.67,50,40,17,24,131,,,,,,,,
11,"Sierra Vista-Douglas, AZ"," $72,397 "," 1,050 "," 125,355 "," $55,174 ",1.312152,83.76,59,13,5,55,132,,,,,,,,
12,"Sacramento--Roseville--Arden-Arcade, CA"," $79,155 "," 33,750 "," 2,295,233 "," $88,802 ",0.891365,147.04,32,4,94,5,135,,,,,,,,
13,"Atlanta-Sandy Springs-Roswell, GA"," $78,687 "," 60,090 "," 5,795,723 "," $86,546 ",0.909189,103.68,35,10,91,2,138,,,,,,,,
14,"Orlando-Kissimmee-Sanford, FL"," $74,746 "," 12,680 "," 2,453,333 "," $71,881 ",1.039851,51.68,48,29,51,12,140,,,,,,,,
15,"Anaheim-Santa Ana-Irvine, CA "," $91,886 "," 35,420 "," 13,328,261 "," $95,358 ",0.963592,26.58,3,64,69,4,140,,,,,,,,
16,"Bloomington, IL"," $77,565 "," 3,090 "," 188,847 "," $81,223 ",0.954963,163.62,40,2,74,30,146,,,,,,,,
17,"Crestview-Fort Walton Beach-Destin, FL"," $77,319 "," 2,140 "," 265,355 "," $77,360 ",0.999464,80.65,41,17,60,33,151,,,,,,,,
18,"Bridgeport-Stamford-Norwalk, CT"," $84,940 "," 11,380 "," 949,191 "," $143,628 ",0.591389,119.89,16,6,119,13,154,,,,,,,,
19,"Dalton, GA"," $80,120 ", 540 ," 144,074 "," $57,870 ",1.384482,37.48,29,48,4,74,155,,,,,,,,
20,"Warner Robins, GA"," $77,822 ", 890 ," 190,068 "," $69,914 ",1.113106,46.83,38,35,26,59,158,,,,,,,,
21,"Des Moines-West Des Moines, IA"," $76,255 "," 9,020 "," 634,740 "," $85,195 ",0.895064,142.11,45,5,93,16,159,,,,,,,,
22,"Fayetteville-Springdale-Rogers, AR-MO"," $73,931 "," 3,350 "," 525,176 "," $73,685 ",1.003344,63.79,54,22,57,27,160,,,,,,,,
23,"Oxnard-Thousand Oaks-Ventura, CA"," $87,096 "," 5,140 "," 851,096 "," $105,609 ",0.824705,60.39,10,24,108,21,163,,,,,,,,
24,"Fort Collins, CO"," $80,603 "," 1,800 "," 338,531 "," $83,934 ",0.960312,53.17,28,28,70,39,165,,,,,,,,
25,"New Haven, CT"," $83,763 "," 3,330 "," 859,973 "," $87,686 ",0.955255,38.72,19,46,73,28,166,,,,,,,,
