ID,City,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg)
10500,"Albany, GA",66783.33333,320,152440,57901
11180,"Ames, IA",69296.66667,600,96816,70682
31080,"Anaheim-Santa Ana-Irvine, CA ",91886.25,35420,13328261,95358
11260,"Anchorage, AK",84437.14286,1840,401499,102233
11500,"Anniston-Oxford-Jacksonville, AL",59123.33333,140,114980,58992
12020,"Athens-Clarke County, GA",58252,510,205421,65420
12060,"Atlanta-Sandy Springs-Roswell, GA",78686.66667,60090,5795723,86546
12220,"Auburn-Opelika, AL",61960,70,158983,64562
12260,"Augusta-Richmond County, GA-SC",74331.25,1640,594889,64651
12540,"Bakersfield, CA",82796.25,2630,885086,67594
13820,"Birmingham-Hoover, AL",79627.77778,5820,1146888,74082
14010,"Bloomington, IL",77565,3090,188847,81223
14260,"Boise City, ID",70000,3950,690810,73245
14500,"Boulder, CO",83103.75,3750,321173,105099
14860,"Bridgeport-Stamford-Norwalk, CT",84940,11380,949191,143628
15260,"Brunswick, GA",70600,310,116955,64202
15980,"Cape Coral-Fort Myers, FL",70350,1590,722506,74125
16060,"Carbondale-Marion, IL",61655,100,126672,55799
16300,"Cedar Rapids, IA",76723.33333,2120,267925,80497
16580,"Champaign-Urbana, IL",77963.33333,790,239135,70226
16980,"Chicago-Naperville-Arlington Heights, IL ",74157.77778,82500,9546326,91509
17020,"Chico, CA",65844,690,226525,65703
17660,"Coeur d'Alene, ID",64553.33333,320,153144,66843
17820,"Colorado Springs, CO",86667.5,4690,710746,80759
17980,"Columbus, GA-AL",66273.33333,770,306712,61926
18880,"Crestview-Fort Walton Beach-Destin, FL",77318.57143,2140,265355,77360
19140,"Dalton, GA",80120,540,144074,57870
19180,"Danville, IL",79390,90,78560,56819
19300,"Daphne-Fairhope-Foley, AL",62445,250,207509,74892
19340,"Davenport-Moline-Rock Island, IA-IL",72134.28571,910,382671,69246
19460,"Decatur, AL",76485,100,152051,58555
19500,"Decatur, IL",52980,0,106651,62668
19660,"Deltona-Daytona Beach-Ormond Beach, FL",63724.28571,1430,636843,61275
19740,"Denver-Aurora-Lakewood, CO",88827.5,28440,2851848,97172
19780,"Des Moines-West Des Moines, IA",76255,9020,634740,85195
20020,"Dothan, AL",64540,100,147781,56872
20100,"Dover, DE",71961.66667,620,174754,66154
20220,"Dubuque, IA",68457.5,580,96704,82731
20940,"El Centro, CA",66406.66667,350,180980,63208
21820,"Fairbanks, AK",70800,200,100602,87359
22220,"Fayetteville-Springdale-Rogers, AR-MO",73931.42857,3350,525176,73685
22380,"Flagstaff, AZ",66902.5,560,140079,67297
22520,"Florence-Muscle Shoals, AL",58400,70,146646,57924
22660,"Fort Collins, CO",80602.85714,1800,338531,83934
22900,"Fort Smith, AR-OK",56897.5,410,281032,53644
23420,"Fresno, CA",72871.25,2920,979534,68967
23460,"Gadsden, AL",59840,40,102726,55243
23540,"Gainesville, FL",70638.33333,1370,281551,62520
23580,"Gainesville, GA",82042.5,490,196237,70477
24300,"Grand Junction, CO",73413.33333,300,149794,60280
24540,"Greeley, CO",85780,490,294243,81031
