,ID,City,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg),Avg Wage Rank,Jobs Per Capita Rank,Wage Ratio Rank,# of Jobs Rank,Total City Score
0,26620,"Huntsville, AL",89672.85714,5230,449232,82195,5,8,31,20,64
1,17820,"Colorado Springs, CO",86667.5,4690,710746,80759,13,21,39,23,96
2,25540,"Hartford-West Hartford-East Hartford, CT",89456.25,13890,1210075,96040,6,9,85,10,110
3,37340,"Palm Bay-Melbourne-Titusville, FL",79081.42857,3100,577899,70367,33,27,21,29,110
4,19740,"Denver-Aurora-Lakewood, CO",88827.5,28440,2851848,97172,8,11,89,7,115
5,41740,"San Diego-Carlsbad, CA",89126.25,27580,3317200,96692,7,14,87,8,116
6,13820,"Birmingham-Hoover, AL",79627.77777999999,5820,1146888,74082,30,30,38,19,117
7,41940,"San Jose-Sunnyvale-Santa Clara, CA",109998.75,32540,1990910,145317,1,3,115,6,125
8,12540,"Bakersfield, CA",82796.25,2630,885086,67594,23,60,10,32,125
9,46060,"Tucson, AZ",74457.14286,4320,1012519,65881,50,40,17,24,131
10,43420,"Sierra Vista-Douglas, AZ",72396.66667,1050,125355,55174,59,13,5,55,132
11,40900,"Sacramento--Roseville--Arden-Arcade, CA",79155.0,33750,2295233,88802,32,4,94,5,135
12,12060,"Atlanta-Sandy Springs-Roswell, GA",78686.66667,60090,5795723,86546,35,10,91,2,138
13,36740,"Orlando-Kissimmee-Sanford, FL",74745.55556000001,12680,2453333,71881,48,29,51,12,140
14,31080,"Anaheim-Santa Ana-Irvine, CA ",91886.25,35420,13328261,95358,3,64,69,4,140
15,14010,"Bloomington, IL",77565.0,3090,188847,81223,40,2,74,30,146
16,18880,"Crestview-Fort Walton Beach-Destin, FL",77318.57143,2140,265355,77360,41,17,60,33,151
17,14860,"Bridgeport-Stamford-Norwalk, CT",84940.0,11380,949191,143628,16,6,119,13,154
18,19140,"Dalton, GA",80120.0,540,144074,57870,29,48,4,74,155
19,47580,"Warner Robins, GA",77821.66667,890,190068,69914,38,35,26,59,158
20,19780,"Des Moines-West Des Moines, IA",76255.0,9020,634740,85195,45,5,93,16,159
21,22220,"Fayetteville-Springdale-Rogers, AR-MO",73931.42857,3350,525176,73685,54,22,57,27,160
22,37100,"Oxnard-Thousand Oaks-Ventura, CA",87096.25,5140,851096,105609,10,24,108,21,163
23,22660,"Fort Collins, CO",80602.85714,1800,338531,83934,28,28,70,39,165
